task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1
image_classification,73.94110549849617,73.94110549849617,73.94110549849617,73.94110549849617,73.94110549849617,73.94110549849617,73.94110549849617,73.94110549849617,32.740623243580316,32.740623243580316,32.740623243580316,8.130352243233222
object_detection,34.38055948215118,34.38055948215118,34.38055948215118,34.38055948215118,34.38055948215118,34.38055948215118,34.38055948215118,34.38055948215118,21.4971100746663,21.4971100746663,21.4971100746663,10.779068364807495
question_answering,34.643261614947065,34.643261614947065,34.643261614947065,34.643261614947065,34.643261614947065,34.643261614947065,34.643261614947065,34.643261614947065,17.140492480435068,17.140492480435068,17.140492480435068,3.1128664705859004
speech_recognition,574.0182670592241,574.0182670592241,574.0182670592241,574.0182670592241,574.0182670592241,574.0182670592241,574.0182670592241,574.0182670592241,206.6460134263353,206.6460134263353,206.6460134263353,18.75108212938985
