task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1
image_classification,72.37659011540207,72.37659011540207,72.37659011540207,32.55512485439315,32.55512485439315,32.55512485439315,8.112257166346899
object_detection,31.876383839828996,31.876383839828996,31.876383839828996,18.94093619345187,18.94093619345187,18.94093619345187,10.123745731848292
question_answering,34.79434112033023,34.79434112033023,34.79434112033023,16.401519648904156,16.401519648904156,16.401519648904156,3.061989808494094
speech_recognition,576.7951620119012,576.7951620119012,576.7951620119012,206.46611411926725,206.46611411926725,206.46611411926725,18.35086206896552
