task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,115.20496316956564,115.20496316956564,115.20496316956564,115.20496316956564,115.20496316956564,115.20496316956564,25.983145344296474,25.983145344296474,25.983145344296474,25.983145344296474
object_detection,42.25126332562633,42.25126332562633,42.25126332562633,42.25126332562633,42.25126332562633,42.25126332562633,19.63987912714233,19.63987912714233,19.63987912714233,19.63987912714233
question_answering,51.12973843177582,51.12973843177582,51.12973843177582,51.12973843177582,51.12973843177582,51.12973843177582,14.830433389554917,14.830433389554917,14.830433389554917,14.830433389554917
speech_recognition,852.8377171073365,852.8377171073365,852.8377171073365,852.8377171073365,852.8377171073365,852.8377171073365,208.41411454876408,208.41411454876408,208.41411454876408,208.41411454876408
