task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,t2.large-14,g4dn.xlarge-1
image_classification,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,74.78440510351066,8.421660079051383
object_detection,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,35.985535516041885,11.43625730994152
question_answering,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,35.46840750750114,3.1056234555533293
speech_recognition,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,577.5862700618218,18.960955785843343
