task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3
image_classification,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,74.7079548023823,33.261366111125746,33.261366111125746,33.261366111125746
object_detection,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,36.32103738498568,22.744508971704626,22.744508971704626,22.744508971704626
question_answering,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,35.33383998555051,17.508819709702063,17.508819709702063,17.508819709702063
speech_recognition,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,577.4273553586768,208.97481241456882,208.97481241456882,208.97481241456882
