task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3
image_classification,99.16494190039859,99.16494190039859,99.16494190039859,99.16494190039859,99.16494190039859,99.16494190039859,99.16494190039859,25.172778645160196,25.172778645160196,25.172778645160196
object_detection,39.65121877515753,39.65121877515753,39.65121877515753,39.65121877515753,39.65121877515753,39.65121877515753,39.65121877515753,19.590828365401016,19.590828365401016,19.590828365401016
question_answering,43.97556655672181,43.97556655672181,43.97556655672181,43.97556655672181,43.97556655672181,43.97556655672181,43.97556655672181,15.42415313024811,15.42415313024811,15.42415313024811
speech_recognition,729.7486484641063,729.7486484641063,729.7486484641063,729.7486484641063,729.7486484641063,729.7486484641063,729.7486484641063,216.05920271252018,216.05920271252018,216.05920271252018
