task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,73.62227768464766,73.62227768464766,73.62227768464766,73.62227768464766,73.62227768464766,73.62227768464766,73.62227768464766,73.62227768464766,8.414886191000392,8.414886191000392,8.414886191000392
object_detection,33.759949309421344,33.759949309421344,33.759949309421344,33.759949309421344,33.759949309421344,33.759949309421344,33.759949309421344,33.759949309421344,10.927340372046254,10.927340372046254,10.927340372046254
question_answering,34.95914013638618,34.95914013638618,34.95914013638618,34.95914013638618,34.95914013638618,34.95914013638618,34.95914013638618,34.95914013638618,3.0835846834169685,3.0835846834169685,3.0835846834169685
speech_recognition,573.9708969732304,573.9708969732304,573.9708969732304,573.9708969732304,573.9708969732304,573.9708969732304,573.9708969732304,573.9708969732304,18.952178134647486,18.952178134647486,18.952178134647486
