task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3
image_classification,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,74.46493969051474,26.018145166455167,26.018145166455167,26.018145166455167
object_detection,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,35.4781990962915,27.016769896769894,27.016769896769894,27.016769896769894
question_answering,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,35.59770933414182,18.2695213978351,18.2695213978351,18.2695213978351
speech_recognition,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,578.3489851990644,216.12207141045866,216.12207141045866,216.12207141045866
