task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,73.9206285158309,73.9206285158309,73.9206285158309,73.9206285158309,73.9206285158309,73.9206285158309,29.1789649359386,29.1789649359386,29.1789649359386,8.366550851531835,8.366550851531835
object_detection,33.92486407175157,33.92486407175157,33.92486407175157,33.92486407175157,33.92486407175157,33.92486407175157,22.189478128068835,22.189478128068835,22.189478128068835,11.241721185168554,11.241721185168554
question_answering,34.50992608480595,34.50992608480595,34.50992608480595,34.50992608480595,34.50992608480595,34.50992608480595,16.317586503211935,16.317586503211935,16.317586503211935,3.1012220133247173,3.1012220133247173
speech_recognition,573.8907961108305,573.8907961108305,573.8907961108305,573.8907961108305,573.8907961108305,573.8907961108305,195.57339496454327,195.57339496454327,195.57339496454327,18.860943896190285,18.860943896190285
