task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,t2.large-14,t2.large-15
image_classification,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843,75.61453302629843
object_detection,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892,36.06315704298892
question_answering,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657,35.29202362887657
speech_recognition,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024,587.8242986289024
