task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,g4dn.xlarge-1
image_classification,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,73.93296580218063,8.097979081596103
object_detection,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,33.70799604478454,10.425708080073573
question_answering,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,34.77477150643254,3.033807339219765
speech_recognition,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,575.5174334896676,18.840223849866675
