task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,85.959644087738,85.959644087738,85.959644087738,85.959644087738,85.959644087738,25.44383013477857,25.44383013477857,25.44383013477857,25.44383013477857
object_detection,36.96443892294697,36.96443892294697,36.96443892294697,36.96443892294697,36.96443892294697,19.581117216764483,19.581117216764483,19.581117216764483,19.581117216764483
question_answering,40.99286223646334,40.99286223646334,40.99286223646334,40.99286223646334,40.99286223646334,15.571103558488096,15.571103558488096,15.571103558488096,15.571103558488096
speech_recognition,654.0449550649307,654.0449550649307,654.0449550649307,654.0449550649307,654.0449550649307,213.60126438723,213.60126438723,213.60126438723,213.60126438723
