task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,125.48600923518919,125.48600923518919,125.48600923518919,125.48600923518919,24.306770979963567,24.306770979963567,24.306770979963567,24.306770979963567
object_detection,46.08951725835887,46.08951725835887,46.08951725835887,46.08951725835887,19.010274811486482,19.010274811486482,19.010274811486482,19.010274811486482
question_answering,53.5756531360103,53.5756531360103,53.5756531360103,53.5756531360103,16.325286299320585,16.325286299320585,16.325286299320585,16.325286299320585
speech_recognition,942.991249642467,942.991249642467,942.991249642467,942.991249642467,218.44293403671628,218.44293403671628,218.44293403671628,218.44293403671628
