t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
11,2,3,2,25000,10660,134.5
4,4,3,2,25000,10599,135.9
13,0,3,2,25000,10681,134.1
7,2,3,2,25000,10629,135.2
9,2,3,2,25000,10622,135.4
10,1,3,2,25000,10649,134.8
9,4,3,2,25000,10642,134.9
6,4,3,2,25000,10635,135.1
12,0,3,2,25000,10642,134.9
7,4,3,2,25000,10655,134.6
8,3,3,2,25000,10591,136.0
8,2,3,2,25000,10651,134.7
7,3,3,2,25000,10644,134.9
5,3,3,2,25000,10622,135.4
6,3,3,2,25000,10643,134.9
12,1,3,2,25000,10644,134.9
10,2,3,2,25000,10674,134.2
8,4,3,2,25000,10639,135.0
9,3,3,2,25000,10625,135.3
5,4,3,2,25000,10593,136.0
11,1,3,2,25000,10665,134.4
3,4,3,2,25000,10592,136.0
10,3,3,2,25000,10697,133.7
7,4,2,3,25000,10584,136.2
9,2,2,3,25000,10668,134.3
8,3,2,3,25000,10642,134.9
3,0,3,3,25000,10573,136.5
4,0,3,3,25000,10579,136.3
11,3,2,3,25000,10680,134.1
10,0,3,3,25000,10649,134.8
6,3,2,3,25000,10622,135.4
13,0,2,3,25000,10694,133.8
7,2,2,3,25000,10612,135.6
10,3,2,3,25000,10666,134.4
9,1,2,3,25000,10601,135.8
4,1,3,3,25000,10605,135.7
3,2,3,3,25000,10615,135.5
6,2,2,3,25000,10595,136.0
0,4,3,3,25000,10522,137.6
7,3,2,3,25000,10653,134.7
0,3,3,3,25000,10504,138.0
12,0,2,3,25000,10645,134.9
6,0,3,3,25000,10597,135.9
12,2,2,3,25000,10658,134.6
5,3,2,3,25000,10625,135.3
12,1,2,3,25000,10653,134.7
8,0,3,3,25000,10663,134.5
3,3,3,3,25000,10570,136.5
11,0,3,3,25000,10667,134.4
10,1,2,3,25000,10623,135.3
1,0,3,3,25000,10525,137.5
3,4,2,3,25000,10580,136.3
7,1,3,3,25000,10656,134.6
4,3,2,3,25000,10589,136.1
1,4,3,3,25000,10522,137.6
4,3,3,3,25000,10590,136.1
8,2,2,3,25000,10660,134.5
2,4,2,3,25000,10525,137.5
8,4,2,3,25000,10652,134.7
2,1,3,3,25000,10574,136.4
5,4,2,3,25000,10594,136.0
11,2,2,3,25000,10640,135.0
9,1,3,3,25000,10641,134.9
2,3,3,3,25000,10523,137.6
1,4,2,3,25000,10527,137.5
3,1,3,3,25000,10558,136.8
5,2,3,3,25000,10619,135.4
1,2,3,3,25000,10553,136.9
10,2,2,3,25000,10643,134.9
6,2,3,3,25000,10638,135.0
4,4,2,3,25000,10579,136.3
5,1,3,3,25000,10587,136.1
4,2,3,3,25000,10595,136.0
6,1,3,3,25000,10608,135.7
0,1,3,3,25000,10509,137.9
5,0,3,3,25000,10588,136.1
2,2,3,3,25000,10558,136.8
9,4,2,3,25000,10653,134.7
10,4,2,3,25000,10666,134.4
6,4,2,3,25000,10623,135.3
2,4,3,3,25000,10593,136.0
1,1,3,3,25000,10563,136.7
9,3,2,3,25000,10637,135.0
11,1,2,3,25000,10626,135.3
