t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
11,2,3,1,1438,10660,86.5
5,4,3,1,1503,10593,85.8
9,4,3,1,1378,10642,87.1
7,4,3,1,1435,10655,86.5
6,4,3,1,1455,10635,86.3
7,3,3,1,1501,10644,85.9
9,3,3,1,1425,10625,86.6
12,1,3,1,1485,10644,86.0
8,3,3,1,1463,10591,86.2
10,3,3,1,1413,10697,86.8
10,2,3,1,1473,10674,86.2
8,4,3,1,1416,10639,86.7
3,2,3,2,1792,10615,83.1
4,4,3,2,1548,10599,85.4
7,4,2,2,1761,10584,83.4
8,2,3,2,1556,10651,85.4
6,0,3,2,1861,10597,82.4
10,0,2,2,2165,10612,79.6
14,1,1,2,2335,10679,78.1
6,1,2,2,2285,10579,78.4
13,1,1,2,2403,10670,77.5
11,4,1,2,2063,10633,80.6
4,4,2,2,1913,10579,81.9
5,3,2,2,1971,10625,81.4
6,2,3,2,1622,10638,84.8
0,3,3,2,1844,10504,82.4
10,3,1,2,2292,10677,78.5
8,3,2,2,1825,10642,82.9
3,0,3,2,2075,10573,80.4
4,1,3,2,1895,10605,82.1
0,4,3,2,1731,10522,83.5
10,2,1,2,2441,10663,77.1
15,0,1,2,2455,10689,77.0
7,3,2,2,1898,10653,82.2
10,3,2,2,1746,10666,83.6
7,1,2,2,2214,10617,79.1
13,0,2,2,1947,10694,81.8
2,2,2,2,2419,10531,77.0
7,2,2,2,2002,10612,81.1
12,0,2,2,1993,10645,81.3
10,2,2,2,1857,10643,82.6
6,3,2,2,1939,10622,81.7
10,0,3,2,1884,10649,82.3
0,4,2,2,2283,10516,78.3
6,2,2,2,2094,10595,80.2
13,0,3,2,1525,10681,85.7
12,2,2,2,1751,10658,83.6
7,2,3,2,1589,10629,85.1
12,3,1,2,2096,10678,80.4
7,1,3,2,1691,10656,84.1
12,2,1,2,2281,10666,78.6
3,4,2,2,2007,10580,81.0
1,0,3,2,2255,10525,78.6
10,1,2,2,1993,10623,81.2
5,1,2,2,2376,10551,77.5
3,4,3,2,1569,10592,85.2
11,0,3,2,1627,10667,84.7
9,4,1,2,2197,10634,79.3
3,3,3,2,1688,10570,84.0
5,4,1,2,2474,10600,76.7
7,0,2,2,2425,10599,77.1
8,0,3,2,1747,10663,83.6
12,1,2,2,1924,10653,81.9
5,3,3,2,1559,10622,85.3
4,3,2,2,2079,10589,80.4
1,4,3,2,1681,10522,84.0
4,3,3,2,1624,10590,84.7
1,2,3,2,1904,10553,82.0
9,2,3,2,1516,10622,85.7
10,1,3,2,1563,10649,85.3
3,1,3,2,1914,10558,81.9
1,4,2,2,2144,10527,79.6
4,2,2,2,2244,10574,78.8
5,2,2,2,2209,10585,79.1
6,4,1,2,2413,10592,77.2
7,4,1,2,2342,10640,78.0
9,1,3,2,1588,10641,85.1
11,2,2,2,1797,10640,83.1
5,4,2,2,1890,10594,82.2
2,1,3,2,2009,10574,81.0
8,4,2,2,1718,10652,83.9
2,4,2,2,2042,10525,80.6
8,2,2,2,1945,10660,81.8
2,3,3,2,1747,10523,83.4
9,1,2,2,2044,10601,80.7
11,3,1,2,2198,10683,79.4
4,2,3,2,1756,10595,83.4
9,3,2,2,1772,10637,83.3
8,3,1,2,2485,10631,76.6
8,4,1,2,2204,10618,79.2
13,1,2,2,1801,10681,83.1
0,3,2,2,2421,10501,76.9
6,3,3,2,1542,10643,85.5
14,0,2,2,1860,10670,82.6
5,0,3,2,1930,10588,81.8
0,1,3,2,2146,10509,79.6
1,1,3,2,2051,10563,80.6
1,3,3,2,1792,10560,83.0
2,3,2,2,2248,10579,78.8
11,0,2,2,2090,10604,80.3
0,2,3,2,1983,10516,81.1
2,2,3,2,1834,10558,82.6
8,0,2,2,2307,10614,78.3
2,0,3,2,2173,10536,79.4
9,3,1,2,2295,10616,78.4
11,1,2,2,1903,10626,82.1
9,0,3,2,1710,10636,83.9
13,2,1,2,2196,10649,79.4
10,4,2,2,1609,10666,84.9
6,1,3,2,1749,10608,83.5
9,4,2,2,1656,10653,84.5
6,4,2,2,1837,10623,82.7
8,1,3,2,1643,10637,84.6
12,0,3,2,1577,10642,85.2
7,0,3,2,1796,10601,83.1
8,1,2,2,2129,10603,79.9
2,4,3,2,1662,10593,84.3
9,0,2,2,2208,10616,79.2
4,1,2,2,2492,10577,76.4
1,3,2,2,2312,10514,78.0
5,2,3,2,1677,10619,84.2
3,2,2,2,2352,10540,77.7
12,1,1,2,2506,10651,76.5
9,2,2,2,1894,10668,82.2
4,0,3,2,1995,10579,81.1
11,3,2,2,1688,10680,84.2
11,2,1,2,2356,10639,77.9
10,4,1,2,2102,10630,80.2
0,0,3,2,2388,10496,77.2
5,1,3,2,1815,10587,82.9
3,3,2,2,2130,10585,79.9
11,1,3,2,1519,10665,85.8
3,0,2,3,2909,10574,72.5
13,3,0,3,2892,10712,73.0
8,4,0,3,3328,10654,68.8
0,1,2,3,3069,10510,70.8
8,1,1,3,3031,10609,71.4
12,3,0,3,3010,10637,71.7
4,0,2,3,2744,10580,74.1
9,1,1,3,2875,10629,73.0
12,0,1,3,2781,10681,74.0
1,0,2,3,3278,10536,68.9
5,0,2,3,2627,10561,75.1
10,3,0,3,3389,10836,68.7
