task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,80.73943172568173,10.362153865055038,10.362153865055038
object_detection,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,44.07347372534873,12.66813809966645,12.66813809966645
question_answering,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,43.070504888629884,5.078201049239662,5.078201049239662
speech_recognition,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,582.7584126984127,21.876006348273943,21.876006348273943
