task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,113.68185280609912,113.68185280609912,113.68185280609912,113.68185280609912,113.68185280609912,113.68185280609912,113.68185280609912,113.68185280609912,27.80986133173935,27.80986133173935,27.80986133173935,27.80986133173935
object_detection,47.67779728580168,47.67779728580168,47.67779728580168,47.67779728580168,47.67779728580168,47.67779728580168,47.67779728580168,47.67779728580168,19.830793236842002,19.830793236842002,19.830793236842002,19.830793236842002
question_answering,58.552127216286465,58.552127216286465,58.552127216286465,58.552127216286465,58.552127216286465,58.552127216286465,58.552127216286465,58.552127216286465,15.624455496146231,15.624455496146231,15.624455496146231,15.624455496146231
speech_recognition,796.7948214285714,796.7948214285714,796.7948214285714,796.7948214285714,796.7948214285714,796.7948214285714,796.7948214285714,796.7948214285714,188.76213285233501,188.76213285233501,188.76213285233501,188.76213285233501
