task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,79.75194805194806,79.75194805194806,79.75194805194806,32.98224974200206,10.691467735905466,10.691467735905466,10.691467735905466
object_detection,39.034230399230395,39.034230399230395,39.034230399230395,22.025079001852458,12.748654028714244,12.748654028714244,12.748654028714244
question_answering,45.281481481481485,45.281481481481485,45.281481481481485,16.562680375180374,5.188654254978198,5.188654254978198,5.188654254978198
speech_recognition,578.1450793650794,578.1450793650794,578.1450793650794,182.56831501831502,21.938742661888526,21.938742661888526,21.938742661888526
