task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,83.38637566137565,11.568751969552183,11.568751969552183,11.568751969552183
object_detection,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,49.17718133718133,14.80437641189852,14.80437641189852,14.80437641189852
question_answering,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,45.71436387686388,5.175502802841583,5.175502802841583,5.175502802841583
speech_recognition,585.075,585.075,585.075,585.075,585.075,585.075,585.075,585.075,585.075,585.075,585.075,585.075,22.751526925337554,22.751526925337554,22.751526925337554
