task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,300.45576336517513,300.45576336517513,300.45576336517513,27.61738159535932,27.61738159535932,27.61738159535932,27.61738159535932
object_detection,103.1500797448166,103.1500797448166,103.1500797448166,19.050380353215168,19.050380353215168,19.050380353215168,19.050380353215168
question_answering,139.30009824219542,139.30009824219542,139.30009824219542,15.527578150367432,15.527578150367432,15.527578150367432,15.527578150367432
speech_recognition,1977.1570467836257,1977.1570467836257,1977.1570467836257,187.81078898523538,187.81078898523538,187.81078898523538,187.81078898523538
