task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,80.17322905489573,31.298412698412697,10.258305093404704,10.258305093404704
object_detection,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,42.08309801309802,21.99646331738437,12.195093622546503,12.195093622546503
question_answering,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,42.80584739334739,15.917893557422968,5.110177112980979,5.110177112980979
speech_recognition,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,578.6513227513227,184.1721568627451,21.45088056526264,21.45088056526264
