task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,84.57046296296296,11.103539964167405,11.103539964167405,11.103539964167405
object_detection,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,45.88452112702113,13.400259234087866,13.400259234087866,13.400259234087866
question_answering,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,44.084182299182295,5.374144867824711,5.374144867824711,5.374144867824711
speech_recognition,579.192962962963,579.192962962963,579.192962962963,579.192962962963,579.192962962963,579.192962962963,579.192962962963,579.192962962963,579.192962962963,22.258609400035496,22.258609400035496,22.258609400035496
