task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,82.24805366855367,30.768719336219334,30.768719336219334,30.768719336219334,11.0524384371738,11.0524384371738
object_detection,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,45.48700865800866,25.82851562380974,25.82851562380974,25.82851562380974,13.41944104546828,13.41944104546828
question_answering,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,44.2363492063492,16.068135263666782,16.068135263666782,16.068135263666782,5.001659365220586,5.001659365220586
speech_recognition,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,581.3,189.9573490507314,189.9573490507314,189.9573490507314,22.125829837039845,22.125829837039845
