task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,85.89726229128016,85.89726229128016,85.89726229128016,85.89726229128016,85.89726229128016,85.89726229128016,85.89726229128016,85.89726229128016,36.566880117431594,36.566880117431594,36.566880117431594,36.566880117431594,13.29743169609053,13.29743169609053,13.29743169609053
object_detection,52.202798382173384,52.202798382173384,52.202798382173384,52.202798382173384,52.202798382173384,52.202798382173384,52.202798382173384,52.202798382173384,36.79550278045828,36.79550278045828,36.79550278045828,36.79550278045828,17.634391676667498,17.634391676667498,17.634391676667498
question_answering,43.10833694083694,43.10833694083694,43.10833694083694,43.10833694083694,43.10833694083694,43.10833694083694,43.10833694083694,43.10833694083694,17.122583846322236,17.122583846322236,17.122583846322236,17.122583846322236,5.348793098842938,5.348793098842938,5.348793098842938
speech_recognition,583.3145833333333,583.3145833333333,583.3145833333333,583.3145833333333,583.3145833333333,583.3145833333333,583.3145833333333,583.3145833333333,204.04082015207015,204.04082015207015,204.04082015207015,204.04082015207015,23.766662985807937,23.766662985807937,23.766662985807937
