task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,g4dn.xlarge-1
image_classification,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,80.0397950340258,9.835423860237103
object_detection,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,39.90589339142507,12.594784602625102
question_answering,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,43.431210178710174,4.631407864527263
speech_recognition,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,582.1791763791764,21.52506392885062
