task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,84.44236471861471,84.44236471861471,84.44236471861471,84.44236471861471,31.009573726926668,31.009573726926668,10.914622150868103,10.914622150868103,10.914622150868103
object_detection,39.45911583786584,39.45911583786584,39.45911583786584,39.45911583786584,27.60567765567766,27.60567765567766,13.472423900067463,13.472423900067463,13.472423900067463
question_answering,43.4380753968254,43.4380753968254,43.4380753968254,43.4380753968254,16.745785916439942,16.745785916439942,5.156964398007441,5.156964398007441,5.156964398007441
speech_recognition,583.8841666666667,583.8841666666667,583.8841666666667,583.8841666666667,193.99985347985347,193.99985347985347,22.122289292857126,22.122289292857126,22.122289292857126
