task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,81.86847619047619,81.86847619047619,81.86847619047619,81.86847619047619,81.86847619047619,30.49636591478697,10.70470763190509,10.70470763190509,10.70470763190509
object_detection,42.254037296037296,42.254037296037296,42.254037296037296,42.254037296037296,42.254037296037296,29.62526381170317,13.532356223686154,13.532356223686154,13.532356223686154
question_answering,44.3517380952381,44.3517380952381,44.3517380952381,44.3517380952381,44.3517380952381,15.426890756302521,5.056882116288762,5.056882116288762,5.056882116288762
speech_recognition,583.28,583.28,583.28,583.28,583.28,189.40249999999997,21.983932327690205,21.983932327690205,21.983932327690205
