task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,82.54934523809524,82.54934523809524,82.54934523809524,82.54934523809524,33.839265881177646,33.839265881177646,33.839265881177646,33.839265881177646,11.893173319547934,11.893173319547934,11.893173319547934
object_detection,43.99113636363636,43.99113636363636,43.99113636363636,43.99113636363636,30.71981602633692,30.71981602633692,30.71981602633692,30.71981602633692,14.454819974451897,14.454819974451897,14.454819974451897
question_answering,43.95267857142857,43.95267857142857,43.95267857142857,43.95267857142857,17.224834438652163,17.224834438652163,17.224834438652163,17.224834438652163,5.057699228217847,5.057699228217847,5.057699228217847
speech_recognition,586.2325000000001,586.2325000000001,586.2325000000001,586.2325000000001,198.37151848151848,198.37151848151848,198.37151848151848,198.37151848151848,22.695136135652525,22.695136135652525,22.695136135652525
