task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,82.89933405483404,32.802734778121774,11.652478295362002,11.652478295362002,11.652478295362002
object_detection,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,47.95158924408925,27.42918767507003,14.194620507333207,14.194620507333207,14.194620507333207
question_answering,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,42.871984126984124,15.483025210084033,5.2254097454284025,5.2254097454284025,5.2254097454284025
speech_recognition,580.405,580.405,580.405,580.405,580.405,580.405,580.405,580.405,580.405,580.405,193.58205128205128,22.608528533381467,22.608528533381467,22.608528533381467
