task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,80.80889049222382,30.624272183485736,30.624272183485736,10.456820566937532,10.456820566937532
object_detection,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,43.477257884635335,22.609775782782748,22.609775782782748,12.448486525048304,12.448486525048304
question_answering,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,43.37320784154117,16.000047428062135,16.000047428062135,4.955800928103527,4.955800928103527
speech_recognition,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,580.9390476190476,193.05649337805298,193.05649337805298,21.380191522811863,21.380191522811863
