task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,82.31162698412699,82.31162698412699,82.31162698412699,82.31162698412699,82.31162698412699,82.31162698412699,32.69853139636421,10.863516936365652,10.863516936365652,10.863516936365652
object_detection,45.945233044733044,45.945233044733044,45.945233044733044,45.945233044733044,45.945233044733044,45.945233044733044,28.19861111111111,13.065908179826668,13.065908179826668,13.065908179826668
question_answering,43.819034391534395,43.819034391534395,43.819034391534395,43.819034391534395,43.819034391534395,43.819034391534395,16.76825396825397,4.933611302635361,4.933611302635361,4.933611302635361
speech_recognition,582.3772222222221,582.3772222222221,582.3772222222221,582.3772222222221,582.3772222222221,582.3772222222221,186.34190476190477,21.994066178637276,21.994066178637276,21.994066178637276
