task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1
image_classification,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,80.71810507674145,29.720275588396277,29.720275588396277,9.587678620081324
object_detection,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,40.61259495687725,21.231196562152444,21.231196562152444,11.81958243835381
question_answering,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,43.980440251667524,16.136047751737408,16.136047751737408,4.4256675052572145
speech_recognition,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,579.3806565656566,188.11143476813044,188.11143476813044,21.198265131668187
