task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,79.05043290043291,79.05043290043291,79.05043290043291,32.06462712336396,32.06462712336396,32.06462712336396,11.171920134074718,11.171920134074718,11.171920134074718
object_detection,40.34222222222222,40.34222222222222,40.34222222222222,26.375572912925854,26.375572912925854,26.375572912925854,13.609518049406635,13.609518049406635,13.609518049406635
question_answering,45.56333333333333,45.56333333333333,45.56333333333333,16.692964279728987,16.692964279728987,16.692964279728987,5.4059343765780525,5.4059343765780525,5.4059343765780525
speech_recognition,577.3777777777777,577.3777777777777,577.3777777777777,187.89387667887667,187.89387667887667,187.89387667887667,22.50111915630682,22.50111915630682,22.50111915630682
