task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,84.9708556998557,34.43362582592846,34.43362582592846,11.979782887907728,11.979782887907728,11.979782887907728
object_detection,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,47.72518666518666,31.638156565656566,31.638156565656566,15.422033174640472,15.422033174640472,15.422033174640472
question_answering,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,44.06287991021324,17.107621202327085,17.107621202327085,5.311057644793828,5.311057644793828,5.311057644793828
speech_recognition,581.483,581.483,581.483,581.483,581.483,581.483,581.483,581.483,581.483,581.483,190.68264235764235,190.68264235764235,22.938925725107293,22.938925725107293,22.938925725107293
