task_type,t2.large-1,t2.large-2,t2.large-3,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,79.27087301587302,79.27087301587302,79.27087301587302,10.561819357545374,10.561819357545374,10.561819357545374
object_detection,38.20354497354497,38.20354497354497,38.20354497354497,12.728166066427063,12.728166066427063,12.728166066427063
question_answering,46.49722222222222,46.49722222222222,46.49722222222222,4.863352778171553,4.863352778171553,4.863352778171553
speech_recognition,577.6755555555555,577.6755555555555,577.6755555555555,21.4089181640501,21.4089181640501,21.4089181640501
