task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,t2.large-14,c5.2xlarge-1,c5.2xlarge-2
image_classification,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,94.12961882222658,27.823871000215536,27.823871000215536
object_detection,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,45.25881178457152,20.137046273435182,20.137046273435182
question_answering,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,50.55800085508062,15.818319302880804,15.818319302880804
speech_recognition,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,709.3891482327197,188.1971384499305,188.1971384499305
