task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,c5.2xlarge-1,c5.2xlarge-2
image_classification,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,82.68970275901013,27.96944973294986,27.96944973294986
object_detection,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,39.53891058162551,21.33893085592776,21.33893085592776
question_answering,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,44.91198750376859,15.536096415179902,15.536096415179902
speech_recognition,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,602.3286336740182,189.14571711085154,189.14571711085154
