task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,g4dn.xlarge-1
image_classification,78.11566182613396,78.11566182613396,78.11566182613396,78.11566182613396,9.65913884902962
object_detection,35.7116248861965,35.7116248861965,35.7116248861965,35.7116248861965,11.34870171589019
question_answering,42.09026431901432,42.09026431901432,42.09026431901432,42.09026431901432,4.421432493586039
speech_recognition,576.1514277389277,576.1514277389277,576.1514277389277,576.1514277389277,21.37042485436268
