task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3
image_classification,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,109.78704517120141,28.394921816883777,28.394921816883777,28.394921816883777
object_detection,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,47.12751399205117,19.40469989386467,19.40469989386467,19.40469989386467
question_answering,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,56.73285914828754,15.552724669041325,15.552724669041325,15.552724669041325
speech_recognition,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,780.3189814814815,187.84153874860044,187.84153874860044,187.84153874860044
