t2.large,c5.2xlarge,g4dn.xlarge,total,price,see
9,4,0,13,2.2,10
11,3,0,14,2.04,10
1,0,1,2,0.62,10
14,2,0,16,1.98,10
12,3,0,15,2.13,10
10,3,0,13,1.95,11
12,2,0,14,1.79,11
13,2,0,15,1.89,11
0,0,1,1,0.53,11
9,3,0,12,1.86,11
8,4,0,12,2.1,11
15,1,0,16,1.73,11
7,4,0,11,2.01,11
16,0,0,16,1.48,12
14,1,0,15,1.64,12
13,1,0,14,1.55,12
8,3,0,11,1.76,12
11,2,0,13,1.7,12
6,4,0,10,1.92,12
15,0,0,15,1.39,13
12,1,0,13,1.45,13
5,4,0,9,1.82,13
4,4,0,8,1.73,13
10,2,0,12,1.61,13
7,3,0,10,1.67,13
3,4,0,7,1.64,15
10,1,0,11,1.27,15
13,0,0,13,1.21,15
8,2,0,10,1.42,15
5,3,0,8,1.48,15
