InstanceId,InstanceType,InstanceName,PublicIpAddress
i-089bbe269acf6e42a,t2.large,triton_t2_large_7,
i-0c7c170fe4448d3df,t2.large,triton_t2_large_6,
i-0315fa07f219f8019,t2.large,triton_t2_large_8,
i-06c0bd9263f19e1bc,c5.2xlarge,triton_c5_2xlarge_1,
i-0f8a8f76f09ebb157,g4dn.xlarge,triton_g4dn_xlarge_3,
i-000dccba10e817b94,g4dn.xlarge,triton_g4dn_xlarge_4,
i-0fa323bccce9b1cc9,t2.large,triton_t2_large_1,
i-0665ad526025394ae,t2.large,triton_t2_large_3,
i-00f7f5586979997d3,t2.large,triton_t2_large_4,
i-0944eb90a6566f9aa,t2.large,triton_t2_large_5,
i-0fd033afce25a3543,t2.large,triton_t2_large_2,
i-08d935336465b2f79,t2.large,triton_t2_large_11,
i-0dccf59e7f2ec746d,t2.large,triton_t2_large_12,
i-0572b1b9ed038dd9b,t2.large,triton_t2_large_15,
i-07e8d6f959690c92b,t2.large,triton_t2_large_16,
i-088782e3776da889c,t2.large,triton_t2_large_13,
i-0e5ce4c21380229b4,t2.large,triton_t2_large_14,
i-08237003d4b229c70,t2.large,triton_t2_large_10,
i-050e754b3f5097b85,t2.large,triton_t2_large_9,
i-07288e5ce566aca7f,g4dn.xlarge,triton_g4dn_xlarge_1,
i-03ae36d5494bf535d,g4dn.xlarge,triton_g4dn_xlarge_2,
i-073468664a11162b2,c5.2xlarge,triton_c5_2xlarge_2,
i-058cd8d7e26beb7e1,c5.2xlarge,triton_c5_2xlarge_3,
i-010797fb9009acc5d,c5.2xlarge,triton_c5_2xlarge_5,
i-06f19208e17b2b2b6,c5.2xlarge,triton_c5_2xlarge_4,
i-00bc88edc06feaf4c,g3s.xlarge,triton_g3s_xlarge_1,
i-01b2a5388ba136ac0,c5.xlarge,triton_c5_xlarge_1,
i-069735ea745d9311d,t2.xlarge,triton_t2_xlarge_1,
i-0a7cf620ee3cb2c00,t2.xlarge,triton_t2_xlarge_2,
i-01be46be886e45a61,t2.xlarge,triton_t2_xlarge_3,
i-02291c7303ff043c1,t2.xlarge,triton_t2_xlarge_4,
i-05bf166cd78086158,t2.xlarge,triton_t2_xlarge_8,
i-0db31c1512d17314b,t2.xlarge,triton_t2_xlarge_6,
i-09bebb1044b479fb9,t2.xlarge,triton_t2_xlarge_5,
i-0468fd1a17f4da6ea,t2.xlarge,triton_t2_xlarge_7,
i-08b2e53eb4b333abd,t2.xlarge,triton_t2_xlarge_15,
i-0a7364f1601a28ac9,t2.xlarge,triton_t2_xlarge_16,
i-03fb8ae449308432d,t2.xlarge,triton_t2_xlarge_11,
i-049ea506ba8f4f9e3,t2.xlarge,triton_t2_xlarge_12,
i-07a16c0d30c8e46d3,t2.xlarge,triton_t2_xlarge_9,
i-0b783a80dbae640ac,t2.xlarge,triton_t2_xlarge_10,
i-00b6a912f813e0653,t2.xlarge,triton_t2_xlarge_13,
i-0b7db7090b9ecb2b1,t2.xlarge,triton_t2_xlarge_14,
i-0174c999b28018492,g3s.xlarge,triton_g3s_xlarge_2,
i-029506b73b5494eae,c5.xlarge,triton_c5_xlarge_3,
i-06696359ff6e7e29b,c5.xlarge,triton_c5_xlarge_2,
i-00d9590a83ac47daa,c5.xlarge,triton_c5_xlarge_6,
i-0f1602ef444cbee76,c5.xlarge,triton_c5_xlarge_8,
i-06501f1fd9cb5dcc1,c5.xlarge,triton_c5_xlarge_7,
i-07ea480104983e97f,c5.xlarge,triton_c5_xlarge_5,
i-0865def8c4e77ebd5,c5.xlarge,triton_c5_xlarge_4,
i-0b520829f57d84a43,c5.xlarge,triton_c5_xlarge_9,
i-0198d674ee2b63969,c5.xlarge,triton_c5_xlarge_10,
i-0abbfca097279038c,c5.xlarge,triton_c5_xlarge_11,
i-0c4db6bd8554a8558,c5.xlarge,triton_c5_xlarge_12,
i-01b8b1a8395d66b3e,c5.xlarge,triton_c5_xlarge_16,
i-02b1354368aaab5a2,c5.xlarge,triton_c5_xlarge_14,
i-06e4a7bd74a7d3178,c5.xlarge,triton_c5_xlarge_15,
i-0a47a1d4495f4db13,c5.xlarge,triton_c5_xlarge_13,
i-0ddae2814dce261ae,g3s.xlarge,triton_g3s_xlarge_4,
i-077f0cec9093014ae,g3s.xlarge,triton_g3s_xlarge_3,
i-051407d547352883b,t2.2xlarge,triton_t2_2xlarge_3,
i-04eb732e52d5ef330,t2.2xlarge,triton_t2_2xlarge_2,
i-07122c1db4add0baa,t2.2xlarge,triton_t2_2xlarge_1,
i-002b5a4b07ecdbbbf,t2.2xlarge,triton_t2_2xlarge_4,
i-0b60c0c1cb432e5ca,t2.2xlarge,triton_t2_2xlarge_8,
i-00e2cc598ea0e0e1a,t2.2xlarge,triton_t2_2xlarge_5,
i-097cb5ebfa37630c3,t2.2xlarge,triton_t2_2xlarge_6,
i-034d81984fac936a1,t2.2xlarge,triton_t2_2xlarge_7,
