t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
3,3,1,7,6745,8310,18.8
5,1,1,7,7506,9397,20.1
13,0,1,7,6932,8120,14.6
2,3,1,7,6843,8469,19.2
2,1,1,8,8193,10720,23.6
6,0,1,8,7953,10000,20.5
2,2,1,8,7515,9523,21.1
5,0,1,8,8150,10268,20.6
1,2,1,8,7716,9898,22.0
7,0,1,8,7749,9768,20.7
4,0,1,8,8363,10981,23.8
0,2,1,8,7692,9834,21.8
4,1,1,8,7646,9834,22.2
3,1,1,8,7827,10233,23.5
12,4,0,9,9324,9754,4.4
11,4,0,9,9343,9855,5.2
1,1,1,9,8537,11272,24.3
2,0,1,9,8907,11551,22.9
0,1,1,9,8782,11281,22.2
1,0,1,10,9890,13475,26.6
13,3,0,10,9963,10427,4.4
8,4,0,10,10191,10818,5.8
11,3,0,10,10412,10873,4.2
10,4,0,10,9746,10294,5.3
3,0,1,10,10456,11603,9.9
12,3,0,10,9874,10384,4.9
9,4,0,10,9880,10538,6.2
14,2,0,10,10361,10903,5.0
13,2,0,11,10711,11236,4.7
9,3,0,11,11090,11764,5.7
10,3,0,11,10521,11178,5.9
15,1,0,11,11296,11675,3.2
5,4,0,11,11484,12286,6.5
7,4,0,11,10561,11292,6.5
6,4,0,11,10759,11643,7.6
12,2,0,11,11181,11660,4.1
0,0,1,11,10626,14637,27.4
14,1,0,12,12035,12432,3.2
8,3,0,12,12086,12637,4.4
11,2,0,12,11627,12269,5.2
4,4,0,13,12587,13398,6.1
16,0,0,13,12661,12924,2.0
3,4,0,13,13067,13911,6.1
12,1,0,13,12955,13574,4.6
7,3,0,13,12771,13404,4.7
10,2,0,13,12647,13159,3.9
15,0,0,13,13144,13527,2.8
13,1,0,13,12776,13220,3.4
5,3,0,14,14038,14864,5.6
8,2,0,14,13908,14645,5.0
10,1,0,15,14792,15463,4.3
13,0,0,15,14746,15278,3.5
