t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
0,1,3,4,4.393338999999997
0,2,3,4,4.3995010000000025
0,0,3,4,4.404906999999988
0,4,3,4,4.369149000000001
0,3,3,4,4.4240699999999995
11,2,3,5,4.630958999999999
4,4,3,5,4.422083000000004
0,4,2,5,5.008874000000012
6,4,3,5,4.4910320000000015
8,3,3,5,4.548105000000001
3,2,3,5,4.474348999999998
5,4,3,5,4.446117
5,2,3,5,4.490616999999999
10,3,3,5,4.584996999999998
0,2,2,5,5.266634000000003
0,3,2,5,5.117601999999986
6,3,3,5,4.509346
1,1,3,5,4.422991000000004
7,4,2,5,5.011533999999998
8,2,3,5,4.608511000000004
6,2,3,5,4.516472
7,2,3,5,4.5142250000000015
3,3,3,5,4.383407999999994
3,4,3,5,4.394154000000005
1,0,3,5,4.460886000000007
9,3,3,5,4.633465999999999
5,3,3,5,4.459281999999997
1,4,3,5,4.360338000000001
4,3,3,5,4.460592000000002
8,4,2,5,5.074284000000005
2,1,3,5,4.437969000000002
7,4,3,5,4.465375000000004
9,4,3,5,4.541938000000001
2,3,3,5,4.432789999999995
1,4,2,5,4.999460000000008
3,1,3,5,4.4300709999999945
10,1,3,5,4.639588
9,2,3,5,4.552196999999999
1,2,3,5,4.395253000000013
1,3,3,5,4.429539000000001
0,0,2,5,5.746824999999995
4,2,3,5,4.455596999999998
9,4,2,5,5.058129999999999
2,2,3,5,4.410434000000001
6,4,2,5,5.043496000000001
8,4,3,5,4.514357999999998
0,1,2,5,5.351025000000016
10,4,2,5,5.161317999999997
11,1,3,5,4.694591999999995
12,1,3,5,4.657444999999998
2,0,3,5,4.522799999999997
2,4,3,5,4.377402
7,3,3,5,4.536045999999997
10,2,3,5,4.607004999999999
8,1,3,6,4.500172
12,4,0,6,9.311507999999998
11,3,1,6,6.505576999999996
7,4,1,6,6.3904849999999955
13,0,2,6,5.298201000000001
12,0,3,6,4.574476999999998
9,1,3,6,4.5150019999999955
5,4,2,6,5.076321999999997
4,1,3,6,4.458541999999996
2,2,2,6,5.189209999999999
6,2,2,6,5.2267959999999976
2,4,2,6,5.056578999999998
10,2,1,6,6.664351000000008
8,2,2,6,5.169536999999992
7,3,2,6,5.134126000000002
10,3,2,6,5.1125340000000055
11,2,2,6,5.2284640000000016
7,2,2,6,5.166134999999994
7,0,3,6,4.567675000000002
6,3,2,6,5.068987999999997
13,0,3,6,4.725373999999997
6,4,1,6,6.4568499999999895
4,4,2,6,4.989987999999997
11,4,1,6,6.101558000000001
13,1,1,6,6.616469000000006
9,0,3,6,4.565766000000002
12,2,2,6,5.212298999999996
14,1,1,6,6.656498999999995
6,0,3,6,4.536879000000001
6,1,3,6,4.490810999999996
12,3,0,6,9.92541599999999
13,3,0,6,9.94941699999999
4,2,2,6,5.344816000000003
10,3,1,6,6.440955999999997
8,3,2,6,5.070569000000006
