t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
0,0,3,4,4411,5770,23.6
0,0,2,6,5743,7799,26.4
0,1,3,7,6770,5596,21.0
0,2,3,8,7615,5446,39.8
0,4,3,8,7508,5174,45.1
2,4,3,9,9501,5221,82.0
9,4,3,9,9485,5038,88.3
0,4,2,9,8723,5971,46.1
0,3,3,9,8611,5417,59.0
1,4,3,9,9021,5253,71.7
4,4,3,10,9881,5133,92.5
6,4,3,10,10040,5107,96.6
8,3,3,10,10334,5095,102.8
11,2,3,10,10331,5048,104.7
5,4,3,10,9917,5000,98.3
1,3,3,10,9714,5571,74.4
11,3,2,10,10502,5688,84.6
10,3,3,10,9916,5020,97.5
0,2,2,10,10063,6700,50.2
11,4,1,10,10559,6855,54.0
9,4,2,10,10147,5649,79.6
0,3,2,10,9718,6261,55.2
8,4,2,10,10471,5674,84.5
7,4,3,10,9789,5023,94.9
10,4,2,10,10171,5673,79.3
3,4,3,10,9832,5052,94.6
9,3,3,10,10194,5121,99.1
8,4,3,10,9742,5035,93.5
10,4,1,11,10817,6939,55.9
11,4,0,11,11284,9855,14.5
2,4,2,11,11307,6331,78.6
3,4,2,11,11523,6249,84.4
9,3,2,11,10979,5683,93.2
12,3,1,11,10945,6972,57.0
5,3,3,11,10900,5518,97.5
10,3,2,11,10678,5681,88.0
4,3,3,11,11033,5301,108.1
3,3,3,11,10895,5445,100.1
9,4,1,11,11276,6900,63.4
12,4,0,11,10942,9754,12.2
1,4,2,11,10526,6013,75.1
0,4,1,11,11323,8215,37.8
8,3,2,11,11258,5978,88.3
5,4,2,11,11284,5979,88.7
7,4,2,11,10664,5678,87.8
8,2,3,11,11156,5297,110.6
11,2,2,11,11181,5861,90.8
4,4,2,11,11262,5972,88.6
10,2,2,11,11568,6141,88.4
13,1,2,11,11257,6207,81.4
7,2,3,11,11555,5276,119.0
1,2,3,11,10810,5705,89.5
12,2,2,11,10795,5664,90.6
9,2,3,11,10951,5359,104.3
10,1,3,11,11407,5443,109.6
2,3,3,11,10548,5611,88.0
13,0,3,11,11108,5593,98.6
11,3,1,11,11347,7438,52.6
13,3,0,11,11384,10427,9.2
12,0,3,11,11451,5399,112.1
0,0,1,11,10626,14637,27.4
12,1,3,11,10708,5059,111.7
11,1,3,11,11069,5451,103.1
6,4,2,11,10935,5659,93.2
0,1,2,11,10590,6951,52.4
13,2,1,11,11375,7556,50.5
7,3,3,11,10567,5092,107.5
6,3,3,11,10725,5317,101.7
10,2,3,11,10596,5218,103.1
4,2,3,12,12391,5626,120.2
11,1,2,12,12135,6246,94.3
9,3,1,12,12131,7248,67.4
13,0,2,12,12082,6240,93.6
15,0,1,12,12179,7510,62.2
3,2,3,12,12343,5685,117.1
11,3,0,12,12310,10873,13.2
13,2,0,12,12117,11236,7.8
6,3,2,12,11896,6058,96.4
10,3,1,12,11676,7448,56.8
2,2,3,12,11592,5698,103.4
12,2,1,12,11736,7154,64.0
14,1,1,12,11712,7571,54.7
9,4,0,12,12144,10538,15.2
13,1,1,12,12213,7456,63.8
15,1,0,12,12138,11675,4.0
6,2,3,12,11587,5522,109.8
9,1,3,12,11770,5577,111.0
6,4,1,12,12354,7482,65.1
7,4,1,12,12017,7532,59.5
8,1,3,12,12120,5574,117.4
8,2,2,12,12498,6249,100.0
