t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
0,0,3,4,4.404906999999988
0,0,2,6,5.746824999999995
0,1,3,7,4.393338999999997
0,2,3,8,4.3995010000000025
0,4,3,8,4.369149000000001
2,4,3,9,4.377402
9,4,3,9,4.541938000000001
0,4,2,9,5.008874000000012
0,3,3,9,4.4240699999999995
1,4,3,9,4.360338000000001
4,4,3,10,4.422083000000004
6,4,3,10,4.4910320000000015
8,3,3,10,4.548105000000001
11,2,3,10,4.630958999999999
5,4,3,10,4.446117
1,3,3,10,4.429539000000001
11,3,2,10,5.218245999999999
10,3,3,10,4.584996999999998
0,2,2,10,5.266634000000003
11,4,1,10,6.101558000000001
9,4,2,10,5.058129999999999
0,3,2,10,5.117601999999986
8,4,2,10,5.074284000000005
7,4,3,10,4.465375000000004
10,4,2,10,5.161317999999997
3,4,3,10,4.394154000000005
9,3,3,10,4.633465999999999
8,4,3,10,4.514357999999998
10,4,1,11,6.226476
11,4,0,11,9.346081999999997
2,4,2,11,5.056578999999998
3,4,2,11,5.016400000000003
9,3,2,11,5.064225999999996
12,3,1,11,6.385178000000002
5,3,3,11,4.459281999999997
10,3,2,11,5.1125340000000055
4,3,3,11,4.460592000000002
3,3,3,11,4.383407999999994
9,4,1,11,6.264769000000008
12,4,0,11,9.311507999999998
1,4,2,11,4.999460000000008
0,4,1,11,6.840051999999971
8,3,2,11,5.070569000000006
5,4,2,11,5.076321999999997
7,4,2,11,5.011533999999998
8,2,3,11,4.608511000000004
11,2,2,11,5.2284640000000016
4,4,2,11,4.989987999999997
10,2,2,11,5.213529
13,1,2,11,5.340521999999998
7,2,3,11,4.5142250000000015
1,2,3,11,4.395253000000013
12,2,2,11,5.212298999999996
9,2,3,11,4.552196999999999
10,1,3,11,4.639588
2,3,3,11,4.432789999999995
13,0,3,11,4.725373999999997
11,3,1,11,6.505576999999996
13,3,0,11,9.94941699999999
12,0,3,11,4.574476999999998
0,0,1,11,10.626000000000102
12,1,3,11,4.657444999999998
11,1,3,11,4.694591999999995
6,4,2,11,5.043496000000001
0,1,2,11,5.351025000000016
13,2,1,11,6.600701999999993
7,3,3,11,4.536045999999997
6,3,3,11,4.509346
10,2,3,11,4.607004999999999
4,2,3,12,4.455596999999998
11,1,2,12,5.252847999999998
9,3,1,12,6.3512309999999985
13,0,2,12,5.298201000000001
15,0,1,12,6.717039999999995
3,2,3,12,4.474348999999998
11,3,0,12,10.405203000000009
13,2,0,12,10.717267999999997
6,3,2,12,5.068987999999997
10,3,1,12,6.440955999999997
2,2,3,12,4.410434000000001
12,2,1,12,6.4012210000000085
14,1,1,12,6.656498999999995
9,4,0,12,9.949701999999995
13,1,1,12,6.616469000000006
15,1,0,12,11.282500999999986
6,2,3,12,4.516472
9,1,3,12,4.5150019999999955
6,4,1,12,6.4568499999999895
7,4,1,12,6.3904849999999955
8,1,3,12,4.500172
8,2,2,12,5.169536999999992
7,3,2,12,5.134126000000002
12,3,0,12,9.92541599999999
9,2,2,12,5.156622000000004
12,1,2,12,5.199951999999997
8,4,1,12,6.353170000000002
5,2,3,12,4.490616999999999
1,1,3,12,4.422991000000004
10,4,0,12,9.73606100000001
14,0,2,12,5.300623000000002
11,0,3,12,4.657630999999999
11,2,1,12,6.675955999999999
14,2,0,12,10.331832999999996
11,0,2,13,5.360770000000002
2,3,2,13,5.214590000000005
10,0,3,13,4.611301000000002
7,3,1,13,6.705839999999995
12,0,2,13,5.352837
12,1,1,13,6.589107000000001
3,3,2,13,5.125210999999998
11,2,0,13,11.700877
0,3,1,13,7.243290000000028
5,4,1,13,6.485593999999996
8,4,0,13,10.181264999999991
9,0,3,13,4.565766000000002
16,0,0,13,12.61599200000003
5,3,2,13,5.161559
8,3,1,13,6.418362000000011
6,1,3,13,4.490810999999996
5,1,3,13,4.488049000000005
7,2,2,13,5.166134999999994
14,0,1,13,7.033301999999987
7,4,0,13,10.605179000000017
1,3,2,13,5.182624999999991
13,0,1,13,7.010818000000001
15,0,0,13,13.119676999999989
10,2,1,13,6.664351000000008
9,3,0,13,11.05738200000001
7,1,3,13,4.531501999999998
6,2,2,13,5.2267959999999976
4,4,1,13,6.6526089999999884
4,3,2,13,5.128115999999993
1,4,1,13,6.7113200000000015
10,1,2,13,5.201939000000004
9,1,2,13,5.284661999999996
10,3,0,13,10.62956599999999
14,1,0,13,12.016296000000018
11,1,1,13,6.927625999999993
9,2,1,13,6.57764300000001
13,1,0,13,12.724649000000031
12,2,0,13,11.173391000000024
5,2,2,14,5.188421000000001
3,1,3,14,4.4300709999999945
7,0,3,14,4.567675000000002
8,0,3,14,4.562716999999999
1,2,2,14,5.317222000000006
0,2,1,14,7.676107999999965
6,4,0,14,10.805702999999983
1,0,3,14,4.460886000000007
8,1,2,14,5.2620049999999985
8,3,0,14,12.141162000000003
4,1,3,14,4.458541999999996
10,2,0,14,12.614299000000011
3,4,1,14,6.413035999999992
12,0,1,14,7.039042000000003
10,1,1,14,6.948694999999998
2,4,1,14,6.730542000000002
6,3,1,14,6.774790000000005
10,0,2,14,5.3682750000000015
2,1,3,14,4.437969000000002
8,2,1,14,6.803558000000003
12,1,0,14,13.006598000000007
7,2,1,15,6.8446980000000055
5,3,1,15,6.820309999999991
4,3,1,15,6.7528389999999945
3,2,2,15,5.313377000000004
6,1,2,15,5.367691000000001
11,0,1,15,7.167650000000005
2,2,2,15,5.189209999999999
9,1,1,15,6.974568999999995
4,2,2,15,5.344816000000003
7,1,2,15,5.316189999999998
6,0,3,15,4.536879000000001
7,3,0,15,12.819623999999994
5,4,0,15,11.45506600000001
9,0,2,15,5.358963999999995
13,0,0,15,14.759806999999991
8,0,2,16,5.425640999999993
8,1,1,16,7.077090999999992
5,1,2,16,5.3333360000000045
4,4,0,16,12.63412399999998
3,3,1,16,6.81106200000001
10,1,0,16,14.803102999999998
6,2,1,16,6.90391599999999
8,2,0,16,13.944315999999985
10,0,1,16,7.2725790000000154
1,3,1,16,7.219391999999984
2,0,3,16,4.522799999999997
4,0,3,16,4.481089999999995
5,0,3,16,4.535554000000002
2,3,1,16,6.886833999999986
1,1,2,17,5.356570999999992
7,0,2,17,5.452291999999995
3,0,3,17,4.462383999999982
5,2,1,17,6.977721999999995
9,0,1,17,7.463243000000004
3,4,0,17,13.115060999999988
7,1,1,17,7.298671999999984
4,1,2,17,5.408542000000007
4,2,1,18,7.206569999999992
3,1,2,18,5.299475
6,0,2,18,5.4307030000000065
5,3,0,18,14.094292999999995
2,1,2,18,5.387365000000003
8,0,1,19,7.590357000000005
5,0,2,19,5.396320999999992
3,2,1,19,7.309769000000009
6,1,1,19,7.406625000000012
0,1,1,19,8.790993999999959
7,0,1,20,7.847124000000001
1,2,1,21,7.784442000000009
5,1,1,21,7.599456000000019
2,2,1,21,7.60358999999999
4,0,2,21,5.395164
6,0,1,22,8.01111600000001
4,1,1,22,7.6989350000000085
1,0,2,23,5.630621999999993
