t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
4,2,3,4,100,1,9900.0
9,4,3,4,100,0,100
9,1,3,4,100,1,9900.0
2,3,3,4,100,1,9900.0
0,3,3,4,100,1,9900.0
1,1,3,4,100,1,9900.0
3,1,3,4,100,1,9900.0
5,0,3,4,100,1,9900.0
9,2,3,4,100,1,9900.0
1,2,3,4,100,1,9900.0
7,2,3,4,100,1,9900.0
6,3,3,4,100,1,9900.0
6,2,3,4,100,1,9900.0
6,0,3,4,100,1,9900.0
7,4,3,4,100,0,100
8,2,3,4,100,0,100
0,2,3,4,100,1,9900.0
4,4,3,4,100,1,9900.0
3,0,3,4,100,1,9900.0
5,1,3,4,100,1,9900.0
5,2,3,4,100,1,9900.0
0,0,3,4,100,1,9900.0
4,0,3,4,100,1,9900.0
6,4,3,4,100,1,9900.0
8,3,3,4,100,0,100
4,1,3,4,100,1,9900.0
3,2,3,4,100,1,9900.0
0,4,3,4,100,1,9900.0
5,4,3,4,100,1,9900.0
10,3,3,4,100,0,100
2,1,3,4,100,1,9900.0
1,3,3,4,100,1,9900.0
1,0,3,4,100,1,9900.0
6,1,3,4,100,1,9900.0
2,0,3,4,100,1,9900.0
7,1,3,4,100,1,9900.0
7,0,3,4,100,1,9900.0
12,0,3,4,100,0,100
2,4,3,4,100,1,9900.0
3,3,3,4,100,1,9900.0
3,4,3,4,100,1,9900.0
5,3,3,4,100,1,9900.0
8,1,3,4,100,0,100
8,0,3,4,100,1,9900.0
7,3,3,4,100,0,100
2,2,3,4,100,1,9900.0
8,4,3,4,100,0,100
1,4,3,4,100,1,9900.0
0,1,3,4,100,1,9900.0
10,2,3,4,100,0,100
4,3,3,4,100,1,9900.0
9,0,3,4,100,1,9900.0
10,1,2,5,100,0,100
0,4,2,5,100,1,9900.0
8,3,2,5,100,1,9900.0
10,0,3,5,100,0,100
4,0,2,5,100,1,9900.0
6,3,2,5,100,1,9900.0
12,0,2,5,100,0,100
7,2,2,5,100,0,100
3,1,2,5,100,1,9900.0
11,0,3,5,100,0,100
13,0,2,5,100,0,100
7,0,2,5,100,1,9900.0
12,1,2,5,100,0,100
6,2,2,5,100,1,9900.0
7,3,2,5,100,1,9900.0
10,3,2,5,100,0,100
5,1,2,5,100,1,9900.0
2,2,2,5,100,1,9900.0
10,0,2,5,100,1,9900.0
1,1,2,5,100,1,9900.0
8,2,2,5,100,1,9900.0
2,4,2,5,100,1,9900.0
8,4,2,5,100,0,100
3,0,2,5,100,1,9900.0
6,0,2,5,100,1,9900.0
5,4,2,5,100,1,9900.0
4,3,2,5,100,1,9900.0
11,2,2,5,100,0,100
5,2,2,5,100,1,9900.0
4,2,2,5,100,1,9900.0
1,4,2,5,100,1,9900.0
10,1,3,5,100,0,100
5,0,2,5,100,1,9900.0
