t2.large,c5.2xlarge,g4dn.xlarge,ssee,simulated_makespan
11,2,3,2,4.630958999999999
10,3,3,2,4.584996999999998
0,2,3,2,4.3995010000000025
5,1,3,2,4.488049000000005
5,2,3,2,4.490616999999999
5,4,3,2,4.446117
0,3,3,2,4.4240699999999995
0,4,3,2,4.369149000000001
8,3,3,2,4.548105000000001
6,4,3,2,4.4910320000000015
4,4,3,2,4.422083000000004
8,2,3,2,4.608511000000004
6,2,3,2,4.516472
13,0,3,2,4.725373999999997
7,2,3,2,4.5142250000000015
9,2,3,2,4.552196999999999
10,1,3,2,4.639588
2,3,3,2,4.432789999999995
9,1,3,2,4.5150019999999955
9,4,3,2,4.541938000000001
7,4,3,2,4.465375000000004
4,3,3,2,4.460592000000002
1,4,3,2,4.360338000000001
5,3,3,2,4.459281999999997
9,3,3,2,4.633465999999999
3,4,3,2,4.394154000000005
11,0,3,2,4.657630999999999
3,3,3,2,4.383407999999994
6,3,3,2,4.509346
1,3,3,2,4.429539000000001
4,2,3,2,4.455596999999998
8,1,3,2,4.500172
12,0,3,2,4.574476999999998
2,4,3,2,4.377402
10,2,3,2,4.607004999999999
8,4,3,2,4.514357999999998
12,1,3,2,4.657444999999998
11,1,3,2,4.694591999999995
7,3,3,2,4.536045999999997
6,1,2,3,5.367691000000001
13,1,1,3,6.616469000000006
11,4,1,3,6.101558000000001
4,4,2,3,4.989987999999997
5,3,2,3,5.161559
2,2,3,3,4.410434000000001
6,4,1,3,6.4568499999999895
0,1,3,3,4.393338999999997
1,2,3,3,4.395253000000013
12,2,2,3,5.212298999999996
10,2,2,3,5.213529
14,1,1,3,6.656498999999995
6,0,3,3,4.536879000000001
2,0,3,3,4.522799999999997
15,0,1,3,6.717039999999995
10,4,2,3,5.161317999999997
13,0,2,3,5.298201000000001
2,2,2,3,5.189209999999999
7,2,2,3,5.166134999999994
12,0,2,3,5.352837
10,0,2,3,5.3682750000000015
6,3,2,3,5.068987999999997
0,4,2,3,5.008874000000012
8,3,2,3,5.070569000000006
10,3,1,3,6.440955999999997
3,1,2,3,5.299475
9,0,3,3,4.565766000000002
7,4,2,3,5.011533999999998
10,0,3,3,4.611301000000002
2,1,2,3,5.387365000000003
9,4,2,3,5.058129999999999
1,4,2,3,4.999460000000008
5,0,2,3,5.396320999999992
12,2,1,3,6.4012210000000085
3,4,2,3,5.016400000000003
3,2,2,3,5.313377000000004
1,1,2,3,5.356570999999992
1,0,3,3,4.460886000000007
7,1,3,3,4.531501999999998
10,1,2,3,5.201939000000004
3,3,2,3,5.125210999999998
9,4,1,3,6.264769000000008
5,4,1,3,6.485593999999996
7,0,2,3,5.452291999999995
8,0,3,3,4.562716999999999
12,1,2,3,5.199951999999997
5,1,2,3,5.3333360000000045
3,1,3,3,4.4300709999999945
12,3,1,3,6.385178000000002
4,3,2,3,5.128115999999993
4,1,3,3,4.458541999999996
4,2,2,3,5.344816000000003
5,2,2,3,5.188421000000001
7,4,1,3,6.3904849999999955
11,2,2,3,5.2284640000000016
5,4,2,3,5.076321999999997
1,3,2,3,5.182624999999991
6,0,2,3,5.4307030000000065
8,4,2,3,5.074284000000005
2,4,2,3,5.056578999999998
8,2,2,3,5.169536999999992
4,0,2,3,5.395164
3,0,2,3,5.4221770000000005
7,3,1,3,6.705839999999995
2,1,3,3,4.437969000000002
3,2,3,3,4.474348999999998
3,0,3,3,4.462383999999982
11,3,1,3,6.505576999999996
5,0,3,3,4.535554000000002
14,0,2,3,5.300623000000002
0,2,2,3,5.266634000000003
9,1,2,3,5.284661999999996
11,3,2,3,5.218245999999999
4,0,3,3,4.481089999999995
9,2,2,3,5.156622000000004
9,0,2,3,5.358963999999995
12,1,1,3,6.589107000000001
2,0,2,3,5.550599
0,0,3,3,4.404906999999988
7,0,3,3,4.567675000000002
4,1,2,3,5.408542000000007
10,4,1,3,6.226476
0,3,2,3,5.117601999999986
11,2,1,3,6.675955999999999
13,1,2,3,5.340521999999998
1,2,2,3,5.317222000000006
8,4,1,3,6.353170000000002
9,3,2,3,5.064225999999996
6,3,1,3,6.774790000000005
9,2,1,3,6.57764300000001
8,3,1,3,6.418362000000011
6,4,2,3,5.043496000000001
1,1,3,3,4.422991000000004
0,1,2,3,5.351025000000016
8,0,2,3,5.425640999999993
7,3,2,3,5.134126000000002
8,1,2,3,5.2620049999999985
9,3,1,3,6.3512309999999985
11,1,2,3,5.252847999999998
6,2,2,3,5.2267959999999976
6,1,3,3,4.490810999999996
11,0,2,3,5.360770000000002
7,1,2,3,5.316189999999998
2,3,2,3,5.214590000000005
13,2,1,3,6.600701999999993
10,3,2,3,5.1125340000000055
10,2,1,3,6.664351000000008
7,2,1,4,6.8446980000000055
8,0,1,4,7.590357000000005
15,1,0,4,11.282500999999986
8,1,1,4,7.077090999999992
4,3,1,4,6.7528389999999945
8,4,0,4,10.181264999999991
5,1,1,4,7.599456000000019
3,2,1,4,7.309769000000009
3,3,1,4,6.81106200000001
6,1,1,4,7.406625000000012
11,4,0,4,9.346081999999997
