task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1
image_classification,72.98706862745098,72.98706862745098,72.98706862745098,72.98706862745098,72.98706862745098,31.69792353883098,31.69792353883098,9.583674433043772
object_detection,52.81166498567649,52.81166498567649,52.81166498567649,52.81166498567649,52.81166498567649,52.03364833851931,52.03364833851931,27.34165319873127
question_answering,32.936261133147525,32.936261133147525,32.936261133147525,32.936261133147525,32.936261133147525,13.87008666850772,13.87008666850772,3.444086249558148
speech_recognition,574.53,574.53,574.53,574.53,574.53,176.6888206366902,176.6888206366902,23.08646382671198
