task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,c5.2xlarge-1,g4dn.xlarge-1
image_classification,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,88.33600758216143,47.716668846028114,17.17248549722786
object_detection,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,98.94293089070703,107.74869047619048,61.107527950310555
question_answering,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,34.2183465252696,14.55163768115942,4.071261212375967
speech_recognition,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,581.756043956044,220.25973684210527,21.97055298327934
