task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,c5.2xlarge-1,c5.2xlarge-2
image_classification,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,75.72930735930736,27.829890904013247,27.829890904013247
object_detection,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.56509831625347,81.02327769551756,81.02327769551756
question_answering,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,32.85560308972074,14.124452732944196,14.124452732944196
speech_recognition,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,578.4419264069263,184.43598207343302,184.43598207343302
