task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,g4dn.xlarge-1
image_classification,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,75.40779831932772,10.219023382632406
object_detection,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,72.30046916870415,35.503387925724255
question_answering,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,32.79172832817337,3.50741458165187
speech_recognition,581.7725,581.7725,581.7725,581.7725,581.7725,581.7725,581.7725,581.7725,581.7725,581.7725,23.111844146190098
