task_type,t2.large-1,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,79.60285714285715,33.95588359620618,13.896995911425417,13.896995911425417,13.896995911425417
object_detection,43.17710777126099,34.28766139657444,23.81165263845491,23.81165263845491,23.81165263845491
question_answering,35.4343309253526,15.009409888357258,3.5529448329448328,3.5529448329448328,3.5529448329448328
speech_recognition,586.15,170.16666666666666,22.284613970158937,22.284613970158937,22.284613970158937
