task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1
image_classification,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,72.98201578813344,37.236096634517686
object_detection,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,67.66046167234722,64.77213664596273
question_answering,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,32.679791639837404,13.80275419702249
speech_recognition,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,578.3008496240602,188.2303743047533
