task_type,t2.large-1,t2.large-2,c5.2xlarge-1,g4dn.xlarge-1
image_classification,70.0214696969697,70.0214696969697,29.984246974322055,8.567515657025211
object_detection,31.241226304917454,31.241226304917454,25.820970197138347,12.962150041635047
question_answering,32.73488833746898,32.73488833746898,14.571213517665132,3.336090215312548
speech_recognition,577.8609090909091,577.8609090909091,204.1834739972671,22.99231012174942
