task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,84.5398424908425,16.804222180029395,16.804222180029395
object_detection,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,80.25477761995936,50.17188545041486,50.17188545041486
question_answering,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,33.16147710622711,3.8199078771897925,3.8199078771897925
speech_recognition,580.984,580.984,580.984,580.984,580.984,580.984,580.984,580.984,580.984,580.984,22.50181415975458,22.50181415975458
