task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,g4dn.xlarge-1
image_classification,71.79105263157894,71.79105263157894,71.79105263157894,71.79105263157894,23.964995274267512,9.127018996753808
object_detection,40.39373441711483,40.39373441711483,40.39373441711483,40.39373441711483,39.351517724893846,19.55779634332962
question_answering,33.28904613937271,33.28904613937271,33.28904613937271,33.28904613937271,13.406403715332285,3.4505924112489113
speech_recognition,575.0677777777778,575.0677777777778,575.0677777777778,575.0677777777778,188.40143842364532,22.98824804467862
