task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,86.09885873385873,47.22565329947195,47.22565329947195,47.22565329947195,47.22565329947195
object_detection,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,105.82926776069822,109.77535825693914,109.77535825693914,109.77535825693914,109.77535825693914
question_answering,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,33.12964396714396,14.467096398770313,14.467096398770313,14.467096398770313,14.467096398770313
speech_recognition,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,578.7672727272727,195.85278572775263,195.85278572775263,195.85278572775263,195.85278572775263
