task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,79.36487688237688,15.522660269963021,15.522660269963021
object_detection,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,74.4025866524049,43.147279875604156,43.147279875604156
question_answering,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,32.91835382301069,3.717558771643122,3.717558771643122
speech_recognition,581.72,581.72,581.72,581.72,581.72,581.72,581.72,581.72,581.72,22.40094347731476,22.40094347731476
