task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,90.00531135531135,90.00531135531135,90.00531135531135,56.702392750160755,56.702392750160755,56.702392750160755,56.702392750160755,22.73118525442942,22.73118525442942,22.73118525442942
object_detection,65.80860845866566,65.80860845866566,65.80860845866566,78.93001756454609,78.93001756454609,78.93001756454609,78.93001756454609,43.329227909529266,43.329227909529266,43.329227909529266
question_answering,34.49068709068709,34.49068709068709,34.49068709068709,15.155000127637427,15.155000127637427,15.155000127637427,15.155000127637427,3.7534960618256137,3.7534960618256137,3.7534960618256137
speech_recognition,580.6,580.6,580.6,185.04500000000002,185.04500000000002,185.04500000000002,185.04500000000002,22.402549042742574,22.402549042742574,22.402549042742574
