task_type,t2.large-1,t2.large-2,t2.large-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,72.64411764705883,72.64411764705883,72.64411764705883,9.706512671160123,9.706512671160123
object_detection,38.37015312764539,38.37015312764539,38.37015312764539,19.35515380379558,19.35515380379558
question_answering,33.44940980808297,33.44940980808297,33.44940980808297,3.4640857431345617,3.4640857431345617
speech_recognition,577.8444444444444,577.8444444444444,577.8444444444444,21.69533414618676,21.69533414618676
