task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,105.34164199436927,60.63633986928104,28.34518942519903,28.34518942519903,28.34518942519903
object_detection,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,107.11549600859526,116.8523717948718,74.01298913206963,74.01298913206963,74.01298913206963
question_answering,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,33.39325987144169,16.573023188541764,3.907351677877993,3.907351677877993,3.907351677877993
speech_recognition,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,586.7893939393939,172.88,22.568801470785,22.568801470785,22.568801470785
