task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,80.53610256410256,80.53610256410256,80.53610256410256,80.53610256410256,80.53610256410256,37.92620120267603,37.92620120267603,15.65006813191977,15.65006813191977
object_detection,61.019968709643514,61.019968709643514,61.019968709643514,61.019968709643514,61.019968709643514,65.02300680511908,65.02300680511908,35.36055044253489,35.36055044253489
question_answering,33.38946038928392,33.38946038928392,33.38946038928392,33.38946038928392,33.38946038928392,13.3886660496324,13.3886660496324,3.7462265783897832,3.7462265783897832
speech_recognition,573.984,573.984,573.984,573.984,573.984,197.84869463869464,197.84869463869464,22.30202161281033,22.30202161281033
