task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,95.59341625041625,68.74121798651984,68.74121798651984,68.74121798651984,24.82252410390655,24.82252410390655
object_detection,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,99.86815392029935,120.59232860537209,120.59232860537209,120.59232860537209,64.81182440409667,64.81182440409667
question_answering,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,33.49281818181818,15.001185146596374,15.001185146596374,15.001185146596374,4.051222447143499,4.051222447143499
speech_recognition,581.48,581.48,581.48,581.48,581.48,581.48,581.48,581.48,581.48,581.48,204.1258041958042,204.1258041958042,204.1258041958042,22.47849971244117,22.47849971244117
