task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1
image_classification,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,87.65084582084583,47.38245874311015,47.38245874311015,47.38245874311015,19.78041021294754
object_detection,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,89.67363128001446,105.74691746362798,105.74691746362798,105.74691746362798,64.14473879582576
question_answering,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,33.09102564102564,14.244987966944489,14.244987966944489,14.244987966944489,3.836169949213428
speech_recognition,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,581.1323809523809,184.09593399720333,184.09593399720333,184.09593399720333,23.78631994782732
